Store Name,Ownership Type,City,Country,Longitude,Latitude
"Meritxell, 96",Licensed,Andorra la Vella,AD,1.53,42.51
Ajman Drive Thru,Licensed,Ajman,AE,55.47,25.42
Dana Mall,Licensed,Ajman,AE,55.47,25.39
Twofour 54,Licensed,Abu Dhabi,AE,54.38,24.48
Al Ain Tower,Licensed,Abu Dhabi,AE,54.54,24.51
"Dalma Mall, Ground Floor",Licensed,Abu Dhabi,AE,54.49,24.4
"Dalma Mall, Level 1",Licensed,Abu Dhabi,AE,54.49,24.4
Debenhams Yas Mall,Licensed,Abu Dhabi,AE,54.61,24.46
Khalidiya Street,Licensed,Abu Dhabi,AE,55.69,24.19
Eastern Mangroves,Licensed,Abu Dhabi,AE,54.38,24.48
Nation Towers,Licensed,Abu Dhabi,AE,54.34,24.47
HCT Abu Dhabi Women's College Block,Licensed,Abu Dhabi,AE,54.37,24.49
Standard Chartered Building,Licensed,Abu Dhabi,AE,55.69,24.19
International Tower,Licensed,Abu Dhabi,AE,54.7,24.3
Yas Mall 3,Licensed,Abu Dhabi,AE,54.6,24.48
Blue Tower A,Licensed,Abu Dhabi,AE,55.74,24.21
Corniche Park DT,Licensed,Abu Dhabi,AE,54.34,24.47
Khalidiya Mall,Licensed,Abu Dhabi,AE,54.35,24.47
Al Wahda Mall,Licensed,Abu Dhabi,AE,54.37,24.47
Al Seef Village,Licensed,Abu Dhabi,AE,54.38,24.48
Shangri-La Souq,Licensed,Abu Dhabi,AE,54.51,24.42
"Abu Dhabi University, Men's",Licensed,Abu Dhabi,AE,54.35,24.46
MUshrif Mall 1,Licensed,Abu Dhabi,AE,54.66,24.41
Boutik Mall Sun & Sky,Licensed,Abu Dhabi,AE,54.41,24.5
Marina Mall,Licensed,Abu Dhabi,AE,54.32,24.47
"Abu Dhabi University, Women's",Licensed,Abu Dhabi,AE,54.57,24.35
Hamdan Street,Licensed,Abu Dhabi,AE,55.62,24.21
Saadiyat Island,Licensed,Abu Dhabi,AE,54.44,24.54
Camellia Flowers,Licensed,Abu Dhabi,AE,54.34,24.47
Deerfields,Licensed,Abu Dhabi,AE,54.94,24.9
Abu Dhabi Mall,Licensed,Abu Dhabi,AE,54.37,24.5
Zayed University,Licensed,Abu Dhabi,AE,54.6,24.4
Bawabat Al Sharq,Licensed,Abu Dhabi,AE,55.77,24.48
Guardian Tower,Licensed,Abu Dhabi,AE,54.44,24.43
Ferrari World Welcome Pavilion,Licensed,Abu Dhabi,AE,54.61,24.46
Al Mamoura,Licensed,Abu Dhabi,AE,54.39,24.46
Ministry of Interior,Licensed,Abu Dhabi,AE,54.39,24.43
ADNOC Mushrif,Licensed,Abu Dhabi,AE,54.66,24.41
Twin Towers 13th Street,Licensed,Abu Dhabi,AE,55.53,23.85
Al Falah Community,Licensed,Abu Dhabi,AE,54.37,24.47
Abu Dhabi Police HQ,Licensed,Abu Dhabi,AE,54.37,24.52
Western Region,Licensed,Abu Dhabi,AE,54.37,24.48
Raha Garden,Licensed,Abu Dhabi,AE,54.37,24.47
Al Ain Ladies Club,Licensed,Al Ain,AE,55.4,24.12
Jahli Park,Licensed,Al Ain,AE,55.29,25.24
Tawam Hospital,Licensed,Al Ain,AE,55.65,24.19
Jimmy Mall,Licensed,Al Ain,AE,55.73,24.24
Al Ain Mall,Licensed,Al Ain,AE,55.39,25.1
Bawadi Mall,Licensed,Al Ain,AE,55.81,24.16
Wahat Hili Mall,Licensed,Al Ain,AE,55.69,24.21
Oasis Hospital,Licensed,Al Ain,AE,55.8,24.13
YAS Mall,Licensed,Abu Dhabi,AE,54.47,24.41
Al Ruwais Mall,Licensed,Abu Dhabi,AE,54.63,24.29
Shamkha Mall,Licensed,Abu Dhabi,AE,54.69,24.39
Al Barsha Commercial,Licensed,Al Barsha,AE,55.23,25.05
Umm Sequeim,Licensed,Dubai,AE,55.23,25.17
